卡片名稱,卡片編號,數量
宮 侑,HV-D03-001,3
宮 治,HV-D03-002,3
宮 侑,HV-D03-003,3
宮 侑,HV-D03-004,3
宮 治,HV-D03-005,3
北 信介,HV-D03-006,3
角名 倫太郎,HV-D03-007,3
尾白 アラン,HV-D03-008,3
銀島 結,HV-D03-009,3
大耳 練,HV-D03-010,3
赤木 路成,HV-D03-011,3
優勝候補ってやつだ,HV-D03-012,3
今日 何をする？,HV-D03-013,3
宮 侑,HV-P01-063,3
宮 治,HV-P01-064,3
北 信介,HV-P01-065,3
宮 侑,HV-P02-015,3
宮 侑,HV-P02-016,3
宮 侑,HV-P02-017,3
宮 侑,HV-P02-018,3
宮 治,HV-P02-019,3
宮 治,HV-P02-020,3
宮 治,HV-P02-021,3
宮 治,HV-P02-022,3
北 信介,HV-P02-023,3
北 信介,HV-P02-024,3
北 信介,HV-P02-025,3
角名 倫太郎,HV-P02-026,3
角名 倫太郎,HV-P02-027,3
角名 倫太郎,HV-P02-028,3
尾白 阿蘭,HV-P02-029,3
尾白 阿蘭,HV-P02-030,3
理石 平介,HV-P02-031,3
銀島 結,HV-P02-032,3
大耳 練,HV-P02-033,3
赤木 路成,HV-P02-034,3
小作 裕渡,HV-P02-035,3
宮兄弟,HV-P02-077,3
黑須 法宗,HV-P02-084,3
大見 太郎,HV-P02-085,3
稲荷崎応援団,HV-P02-086,3
どん ぴしゃり,HV-P02-087,3
双子速攻 マイナス・テンポ 裏!!!,HV-P02-088,3
どや俺の仲間すごいやろって もっと言いたかったわ,HV-P02-089,3
宮 侑,HV-PR-034,3
宮 治,HV-PR-035,3
